Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
-0.0,-0.1,0.0,0.4,versicolor
-0.0,-0.0,0.3,1.6,virginica
-0.1,NA,0.2,1.4,virginica
-0.2,0.0,-0.5,-1.0,setosa
-0.1,-0.2,-0.2,-0.2,versicolor
-0.2,NA,NA,-1.2,setosa
-0.0,-0.2,0.2,NA,virginica
-0.1,-0.1,0.1,0.8,virginica
-0.1,-0.2,-0.1,-0.2,versicolor
-0.3,-0.1,-0.5,-1.2,setosa
-0.2,0.0,-0.5,-0.7,setosa
-0.1,-0.2,0.1,0.5,versicolor
-0.1,-0.1,0.1,NA,virginica
0.0,-0.2,0.1,0.2,versicolor
NA,0.2,-0.5,-1.0,setosa
-0.2,-1.9,-0.2,-0.2,versicolor
-0.2,NA,-0.1,0.1,versicolor
-0.3,-0.1,-0.5,-1.2,setosa
NA,0.2,NA,-1.2,setosa
-0.1,NA,-0.0,0.1,versicolor
-0.2,0.1,NA,-1.4,setosa
-0.2,NA,0.0,0.4,versicolor
-0.1,-0.2,NA,0.8,virginica
0.0,-0.0,0.2,1.6,virginica
NA,-0.1,0.3,1.1,virginica
-0.3,-0.1,-0.5,-1.2,setosa
-0.2,-0.1,-0.5,-1.4,setosa
9.8,7.8,10.1,NA,virginica
-0.0,-0.1,0.1,1.0,virginica
NA,-0.2,-0.6,0.1,versicolor
-0.3,-0.1,NA,-1.2,setosa
-0.1,-0.1,0.1,NA,versicolor
-0.1,-0.2,0.0,0.1,versicolor
-0.1,-0.2,NA,0.1,versicolor
0.0,-0.2,3.2,0.1,versicolor
-0.3,-0.1,-0.5,-1.4,setosa
-0.0,-0.1,0.2,0.8,virginica
-0.1,-0.4,0.0,0.4,versicolor
0.0,-0.3,0.2,0.8,virginica
-0.2,-0.1,-0.5,-1.2,setosa
-0.2,NA,-0.6,-1.2,setosa
-0.1,-0.2,-0.1,0.0,versicolor
-1.0,NA,-0.5,-1.0,setosa
-0.1,-0.2,0.1,0.9,virginica
-0.2,0.2,-0.5,-1.2,setosa
0.2,-0.2,0.4,1.0,virginica
-0.1,NA,NA,-1.0,setosa
0.1,-0.1,0.1,0.2,versicolor
-0.0,-0.1,0.2,1.3,virginica
-0.1,0.0,0.0,0.5,versicolor
-0.2,-0.2,0.0,0.0,versicolor
-0.2,-0.1,NA,-1.2,setosa
-0.2,-0.2,-0.1,0.2,versicolor
-0.3,0.0,-0.5,-1.2,setosa
-0.0,-0.0,0.1,0.5,versicolor
0.2,0.1,0.4,1.3,virginica
-0.2,0.1,-0.5,-1.1,setosa
NA,-0.2,0.0,0.4,versicolor
-0.0,-0.2,0.2,NA,virginica
-0.0,-0.2,0.2,1.1,virginica
-0.2,-0.3,-0.2,NA,versicolor
0.1,-0.2,0.3,0.9,virginica
-0.3,-0.1,-0.6,-1.4,setosa
-0.2,-0.0,-0.5,-1.2,setosa
0.1,-0.1,0.2,0.5,virginica
-0.0,-0.3,0.1,0.4,versicolor
-0.2,-0.3,NA,-0.1,versicolor
NA,-0.1,0.2,1.4,virginica
-0.2,0.0,NA,NA,setosa
-0.2,0.0,-0.5,-1.1,setosa
-0.1,-0.1,0.0,0.2,versicolor
0.0,-0.1,0.1,1.4,virginica
-0.2,0.0,-0.5,-1.1,setosa
-0.0,NA,0.0,0.4,versicolor
-0.1,-0.2,0.1,1.0,virginica
-0.2,-0.3,0.0,NA,virginica
-0.2,0.0,-0.5,-1.2,setosa
0.1,-0.1,0.4,1.1,virginica
-0.2,0.1,-0.8,-1.2,setosa
0.2,0.1,0.3,1.0,virginica
-0.1,-0.2,0.2,0.2,virginica
-0.2,0.0,-0.5,-1.2,setosa
-0.1,-0.2,0.1,0.2,versicolor
-0.2,0.1,-0.5,-1.2,setosa
0.0,-0.1,0.1,1.4,virginica
-0.2,0.1,-0.4,Inf,setosa
-0.0,-0.2,-0.0,0.1,versicolor
-0.1,-0.2,-0.0,0.1,versicolor
-0.3,-0.2,-0.5,-1.2,setosa
-0.0,-0.3,0.1,0.9,virginica
0.1,-0.1,0.3,0.8,virginica
-0.2,NA,-0.2,-0.2,versicolor
-0.2,0.0,-0.5,-1.2,setosa
-0.1,-0.2,0.1,0.9,virginica
-0.1,-0.4,0.1,0.4,virginica
0.0,-0.1,NA,0.4,versicolor
-0.2,-0.3,-0.1,0.1,versicolor
0.0,NA,0.1,0.6,versicolor
-0.1,-0.1,-0.0,0.0,versicolor
-0.0,-0.2,0.1,0.4,virginica
-0.2,0.0,-0.5,-1.0,setosa
0.1,0.1,NA,1.6,virginica
-0.0,-0.2,0.1,NA,virginica
-0.1,-0.1,-0.1,0.1,versicolor
-0.2,0.1,NA,-1.0,setosa
-0.2,NA,-0.6,-0.2,versicolor
-0.0,-0.1,0.1,1.0,virginica
-0.3,-0.1,-0.5,NA,setosa
-0.1,-0.2,NA,0.1,versicolor
-0.3,0.0,-0.5,-1.1,setosa
-0.0,0.0,NA,1.5,virginica
-0.2,0.0,-0.5,-1.2,setosa
-0.2,0.0,-0.5,-1.2,setosa
NA,-0.0,0.2,1.1,virginica
0.0,-0.1,0.1,0.4,versicolor
0.2,-0.2,0.4,1.4,virginica
-0.0,NA,0.0,0.1,versicolor
-0.3,-0.1,-0.5,-1.2,setosa
NA,-0.1,0.2,1.1,virginica
NA,-0.2,0.1,0.0,versicolor
-0.1,-0.1,NA,0.4,versicolor
-0.3,-0.3,-0.5,-1.1,setosa
-0.0,-0.1,0.2,1.4,virginica
-0.2,0.2,-0.5,-1.4,setosa
6.2,8.1,1.7,1.0,setosa
-0.1,-0.2,-0.1,0.1,versicolor
0.0,-0.1,0.3,1.4,virginica
-0.1,NA,0.1,1.5,virginica
-0.3,0.1,NA,-1.2,setosa
-0.1,-1.0,-0.5,-1.1,setosa
-0.1,-0.3,-0.1,-0.1,versicolor
0.0,-0.1,0.0,0.2,versicolor
-0.3,NA,-0.4,-1.2,setosa
-0.2,-0.0,-0.5,-0.9,setosa
-0.3,-0.1,-0.5,NA,setosa
0.2,-0.1,NA,1.4,virginica
-0.3,-0.1,-0.5,-1.2,setosa
NA,-0.1,0.1,0.8,virginica
0.0,-0.1,0.2,1.1,virginica
-0.1,-0.4,-0.1,-0.2,versicolor
-0.2,NA,-0.5,-1.2,setosa
-0.2,NA,-0.1,-0.1,versicolor
0.0,-0.1,0.0,0.2,versicolor
-0.0,-0.2,0.2,0.8,virginica
-0.1,-0.3,0.1,1.0,virginica
0.0,-0.1,0.2,1.5,virginica
-0.1,-0.1,0.0,0.4,versicolor
-0.2,0.0,-0.5,-1.2,setosa
-0.0,-0.1,NA,0.8,virginica
-0.1,-0.2,-0.1,NA,versicolor
